#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	[""]	[meta.id]
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	flux_aper_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_lolim_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_m	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS medium (1.2-2.0 keV) energy band	(master_source.flux_aper_hilim_m)	["erg/s/cm^2"]	[]
#Column	flux_aper_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_s)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_lolim_s)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_s	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS soft (0.5-1.2 keV) energy band	(master_source.flux_aper_hilim_s)	["erg/s/cm^2"]	[]
usrid	separation	name	ra	dec	flux_aper_m	flux_aper_lolim_m	flux_aper_hilim_m	flux_aper_s	flux_aper_lolim_s	flux_aper_hilim_s
      3	    15.72	 2CXO J185901.4-782826	 18 59 01.44	-78 28 26.03	6.285e-14	5.296e-14	7.274e-14	1.513e-13	1.178e-13	1.829e-13
      3	    87.45	 2CXO J185850.0-782935	 18 58 50.08	-78 29 35.60	1.651e-15	0.000e+00	3.301e-15	         	         	         
      6	     3.70	 2CXO J110224.8-773335	 11 02 24.82	-77 33 35.50	1.352e-13	1.302e-13	1.399e-13	5.008e-13	4.896e-13	5.121e-13
      6	    61.18	 2CXO J110213.0-773243	 11 02 13.01	-77 32 43.44	4.385e-16	1.754e-16	6.890e-16	         	         	         
      9	    98.89	 2CXO J110645.7-772221	 11 06 45.72	-77 22 21.41	6.523e-16	3.106e-17	1.243e-15	0.000e+00	0.000e+00	1.563e-15
     12	    98.94	 2CXO J111226.3-763530	 11 12 26.35	-76 35 30.96	6.482e-16	2.992e-16	9.807e-16	8.827e-16	1.697e-16	1.596e-15
     12	   105.92	 2CXO J111203.4-763703	 11 12 03.41	-76 37 03.09	3.572e-15	2.928e-15	4.216e-15	6.661e-15	5.715e-15	7.607e-15
     13	    14.88	 2CXO J111004.7-763545	 11 10 04.73	-76 35 45.22	6.402e-14	6.156e-14	6.649e-14	5.821e-14	5.571e-14	6.057e-14
     13	    21.09	 2CXO J111011.4-763529	 11 10 11.45	-76 35 29.22	1.021e-14	9.203e-15	1.116e-14	7.082e-15	6.221e-15	7.892e-15
     13	    37.38	 2CXO J111000.1-763457	 11 10 00.12	-76 34 57.96	8.582e-14	8.281e-14	8.883e-14	4.719e-14	4.493e-14	4.931e-14
     13	    67.70	 2CXO J111007.9-763423	 11 10 07.92	-76 34 23.39	1.516e-15	1.137e-15	1.895e-15	2.214e-16	7.856e-17	3.571e-16
     13	    77.11	 2CXO J110953.4-763425	 11 09 53.44	-76 34 25.60	2.057e-14	1.901e-14	2.205e-14	1.477e-14	1.353e-14	1.601e-14
     13	    79.99	 2CXO J110946.2-763446	 11 09 46.20	-76 34 46.50	2.189e-15	1.735e-15	2.643e-15	2.087e-15	1.620e-15	2.528e-15
     13	    87.58	 2CXO J110941.9-763458	 11 09 41.97	-76 34 58.51	4.665e-14	4.435e-14	4.895e-14	3.183e-15	2.589e-15	3.778e-15
     13	    93.74	 2CXO J110950.0-763647	 11 09 50.10	-76 36 47.72	3.325e-14	3.139e-14	3.500e-14	3.259e-14	3.064e-14	3.443e-14
     13	   118.55	 2CXO J111012.1-763726	 11 10 12.11	-76 37 26.75	4.655e-16	2.148e-16	7.042e-16	         	         	         
