c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc
1,1.27,53.5,1.0644,0.4391,0.1524,6.609999999999999e-13,1.6299999999999999e-13,6.210000000000001e-13,2.05e-13,0.0,0,0,0.0,0,0,0,284.709701,-78.46714,4.05,7152,19.0,19.7,930.5,921.6,16.8,9.31,2RXS,J185906.6-782823,284.77756,-78.4732,9.98,-26.91948,-55.297630000000005,19.7,12.39,4.094876999999999,0.0619,0.0204,200.29,0.6759999999999999,0.306,0.15,0.311,3,15.72, 2CXO J185901.4-782826, 18 59 01.44,-78 28 26.03,6.285e-14,5.296e-14,7.274e-14,1.513e-13,1.178e-13,1.829e-13,284.756,-78.47389722222222,2.1415e-13
1,0.8,33.6,1.1215,0.32,0.4052,6.64e-13,1.21e-13,5.920000000000001e-13,1.3e-13,0.9951,0.284,0.0171,6.2e-13,1.13E-13,6.23E-13,1.37E-13,165.561014,-77.55611800000001,5.5,10350,35.7,38.7,1737.3,1718.0,23.6,9.01,2RXS,J110224.5-773331,165.60236,-77.55886,9.91,-15.95176,-66.52672,40.22,26.64,5.859008,0.0593,0.0131,448.96,0.8740000000000001,0.113,0.08,0.154,6,3.7, 2CXO J110224.8-773335, 11 02 24.82,-77 33 35.50,1.352e-13,1.302e-13,1.399e-13,5.008e-13,4.896e-13,5.121e-13,165.60341666666665,-77.5598611111111,6.36e-13
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,14.88, 2CXO J111004.7-763545, 11 10 04.73,-76 35 45.22,6.402e-14,6.156e-14,6.649e-14,5.821e-14,5.571e-14,6.057e-14,167.5197083333333,-76.59589444444444,1.2223e-13
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,21.09, 2CXO J111011.4-763529, 11 10 11.45,-76 35 29.22,1.021e-14,9.203e-15,1.116e-14,7.082e-15,6.221e-15,7.892e-15,167.5477083333333,-76.59145,1.7292e-14
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,24.2, 2CXO J031822.2-663603, 03 18 22.30,-66 36 03.46,6.189e-13,6.051e-13,6.319e-13,3.385e-13,3.288e-13,3.476e-13,49.59291666666666,-66.6009611111111,9.574e-13
1,0.4,12.2,0.5193,0.0702,3.8464,9.08e-13,5.48e-14,1.75e-12,2.12e-13,0.3715,0.0502,5.1081,9.58e-13,5.78E-14,2.58E-12,3.12E-13,49.575573999999996,-66.48394,16.57,7044,305.9,349.1,9589.3,9039.4,0.84,3.95,2RXS,J031819.4-662911,49.58093,-66.48657,4.3,-44.6464,-74.17968,196.72,76.03,9.197510000000001,0.2313,0.027999999999999997,328.73,0.973,0.071,0.594,0.083,28,3.36, 2CXO J031819.9-662910, 03 18 19.97,-66 29 10.96,3.693e-13,3.595e-13,3.792e-13,2.526e-13,2.453e-13,2.598e-13,49.583208333333324,-66.48637777777778,6.219e-13
1,0.7,29.3,1.1953,0.3016,0.6637,8.809999999999999e-13,2.04e-13,7.37e-13,7.39e-14,1.0181,0.2569,0.0707,8.880000000000001e-13,2.06E-13,8.73E-13,8.75E-14,83.303205,-62.378154,4.32,9025,23.3,30.6,790.1,799.4,7.28,4.91,2RXS,J053313.4-622212,83.30624,-62.37013,7.98,-32.82795,-84.91806,129.65,145.45,14.592417999999999,0.0885,0.0089,1642.91,0.775,0.063,0.36,0.063,42,10.61, 2CXO J053315.0-622212, 05 33 15.02,-62 22 12.53,7.246e-14,6.807e-14,7.684e-14,1.946e-13,1.835e-13,2.057e-13,83.31258333333332,-62.37014722222222,2.6706e-13
1,0.6,35.0,0.5099,0.2638,1.1143,1.9399999999999998e-13,6.14e-14,3.8e-13,1.56e-13,0.414,0.2141,1.3641,1.8600000000000002e-13,5.89E-14,4.50E-13,1.84E-13,313.015918,-57.060547,3.16,5254,14.8,15.8,2392.4,2355.6,0.38,6.61,2RXS,J205203.8-570412,313.01592999999997,-57.070280000000004,25.55,-38.73873,-37.73235,7.82,10.07,4.119942,0.0412,0.0168,244.59,0.9390000000000001,0.182,0.71,0.154,62,12.96, 2CXO J205202.3-570407, 20 52 02.38,-57 04 07.62,2.357e-14,2.158e-14,2.555e-14,1.650e-14,1.496e-14,1.804e-14,313.00991666666664,-57.068783333333336,4.007e-14
1,0.6,35.0,0.5099,0.2638,1.1143,1.9399999999999998e-13,6.14e-14,3.8e-13,1.56e-13,0.414,0.2141,1.3641,1.8600000000000002e-13,5.89E-14,4.50E-13,1.84E-13,313.015918,-57.060547,3.16,5254,14.8,15.8,2392.4,2355.6,0.38,6.61,2RXS,J205203.8-570412,313.01592999999997,-57.070280000000004,25.55,-38.73873,-37.73235,7.82,10.07,4.119942,0.0412,0.0168,244.59,0.9390000000000001,0.182,0.71,0.154,62,26.57, 2CXO J205200.6-570417, 20 52 00.61,-57 04 17.53,7.560e-16,3.872e-16,1.106e-15,9.382e-16,5.507e-16,1.305e-15,313.0025416666667,-57.071536111111115,1.6941999999999998e-15
1,0.6,35.0,0.5099,0.2638,1.1143,1.9399999999999998e-13,6.14e-14,3.8e-13,1.56e-13,0.414,0.2141,1.3641,1.8600000000000002e-13,5.89E-14,4.50E-13,1.84E-13,313.015918,-57.060547,3.16,5254,14.8,15.8,2392.4,2355.6,0.38,6.61,2RXS,J205203.8-570412,313.01592999999997,-57.070280000000004,25.55,-38.73873,-37.73235,7.82,10.07,4.119942,0.0412,0.0168,244.59,0.9390000000000001,0.182,0.71,0.154,62,49.27, 2CXO J205157.8-570406, 20 51 57.84,-57 04 06.43,5.824e-16,2.569e-16,8.907e-16,2.856e-16,5.950e-17,5.117e-16,312.991,-57.06845277777778,8.679999999999999e-16
