c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc,rass_csc_flux_ratio
1,1.27,53.5,1.0644,0.4391,0.1524,6.609999999999999e-13,1.6299999999999999e-13,6.210000000000001e-13,2.05e-13,0.0,0,0,0.0,0,0,0,284.709701,-78.46714,4.05,7152,19.0,19.7,930.5,921.6,16.8,9.31,2RXS,J185906.6-782823,284.77756,-78.4732,9.98,-26.91948,-55.297630000000005,19.7,12.39,4.094876999999999,0.0619,0.0204,200.29,0.6759999999999999,0.306,0.15,0.311,3,15.72, 2CXO J185901.4-782826, 18 59 01.44,-78 28 26.03,6.285e-14,5.296e-14,7.274e-14,1.513e-13,1.178e-13,1.829e-13,284.756,-78.47389722222222,2.1415e-13,2.8998365631566663
1,0.8,33.6,1.1215,0.32,0.4052,6.64e-13,1.21e-13,5.920000000000001e-13,1.3e-13,0.9951,0.284,0.0171,6.2e-13,1.13E-13,6.23E-13,1.37E-13,165.561014,-77.55611800000001,5.5,10350,35.7,38.7,1737.3,1718.0,23.6,9.01,2RXS,J110224.5-773331,165.60236,-77.55886,9.91,-15.95176,-66.52672,40.22,26.64,5.859008,0.0593,0.0131,448.96,0.8740000000000001,0.113,0.08,0.154,6,3.7, 2CXO J110224.8-773335, 11 02 24.82,-77 33 35.50,1.352e-13,1.302e-13,1.399e-13,5.008e-13,4.896e-13,5.121e-13,165.60341666666665,-77.5598611111111,6.36e-13,0.9308176100628932
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,24.2, 2CXO J031822.2-663603, 03 18 22.30,-66 36 03.46,6.189e-13,6.051e-13,6.319e-13,3.385e-13,3.288e-13,3.476e-13,49.59291666666666,-66.6009611111111,9.574e-13,0.3801963651556298
1,0.4,12.2,0.5193,0.0702,3.8464,9.08e-13,5.48e-14,1.75e-12,2.12e-13,0.3715,0.0502,5.1081,9.58e-13,5.78E-14,2.58E-12,3.12E-13,49.575573999999996,-66.48394,16.57,7044,305.9,349.1,9589.3,9039.4,0.84,3.95,2RXS,J031819.4-662911,49.58093,-66.48657,4.3,-44.6464,-74.17968,196.72,76.03,9.197510000000001,0.2313,0.027999999999999997,328.73,0.973,0.071,0.594,0.083,28,3.36, 2CXO J031819.9-662910, 03 18 19.97,-66 29 10.96,3.693e-13,3.595e-13,3.792e-13,2.526e-13,2.453e-13,2.598e-13,49.583208333333324,-66.48637777777778,6.219e-13,2.813957227850137
1,0.7,29.3,1.1953,0.3016,0.6637,8.809999999999999e-13,2.04e-13,7.37e-13,7.39e-14,1.0181,0.2569,0.0707,8.880000000000001e-13,2.06E-13,8.73E-13,8.75E-14,83.303205,-62.378154,4.32,9025,23.3,30.6,790.1,799.4,7.28,4.91,2RXS,J053313.4-622212,83.30624,-62.37013,7.98,-32.82795,-84.91806,129.65,145.45,14.592417999999999,0.0885,0.0089,1642.91,0.775,0.063,0.36,0.063,42,10.61, 2CXO J053315.0-622212, 05 33 15.02,-62 22 12.53,7.246e-14,6.807e-14,7.684e-14,1.946e-13,1.835e-13,2.057e-13,83.31258333333332,-62.37014722222222,2.6706e-13,2.7596794727776532
1,0.89,29.4,1.7058,0.6648,1.6677,1.17e-12,1.4e-13,6.879999999999999e-13,2.5499999999999997e-13,0.0,0,0,0.0,0,0,0,264.398178,-56.575157,8.37,7849,80.7,78.6,2209.2,2221.6,15.2,8.28,2RXS,J173733.8-563404,264.39102,-56.56801,13.48,-13.01498,-33.200540000000004,13.99,10.8,4.006188,0.0702,0.026000000000000002,153.92,1.0,0.595,0.027999999999999997,0.498,69,15.87, 2CXO J173735.7-563402, 17 37 35.75,-56 34 02.95,1.999e-13,1.923e-13,2.075e-13,1.752e-13,1.682e-13,1.821e-13,264.3989583333333,-56.567486111111116,3.751e-13,1.8341775526526258
1,0.41,18.5,2.6278,1.2424,2.2622,5.15e-13,1.15e-13,1.9600000000000002e-13,8.18e-14,0.0,0,0,0.0,0,0,0,104.34273,-55.831008,4.48,9961,25.3,24.2,1533.2,1478.3,12.21,6.42,2RXS,J065723.9-554939,104.34978000000001,-55.82773,20.02,-21.36176,-77.30015,8.19,10.03,4.180397,0.0214,0.0089,468.32,0.777,0.9009999999999999,-1.0,0.615,83,20.49, 2CXO J065725.7-554953, 06 57 25.75,-55 49 53.54,6.874e-14,6.692e-14,7.056e-14,1.434e-13,1.397e-13,1.470e-13,104.35729166666665,-55.83153888888889,2.1214e-13,0.9239181672480439
1,0.51,30.0,1.9991,0.6324,1.8237,6.890000000000001e-13,1.7800000000000002e-13,3.45e-13,6.29e-14,1.8969999999999998,0.6001,1.7149,7.659999999999999e-13,1.98E-13,4.04E-13,7.37E-14,64.053996,-55.787686,3.87,5726,16.9,17.4,517.1,516.0,17.09,1.49,2RXS,J041611.1-554650,64.04628000000001,-55.78058000000001,24.45,-43.68945,-73.69729,35.17,42.45,7.746442999999999,0.0806,0.0147,526.59,-0.039,0.126,-0.062,0.172,84,6.57, 2CXO J041610.3-554648, 04 16 10.35,-55 46 48.67,6.971e-14,6.505e-14,7.438e-14,8.438e-14,7.826e-14,9.050e-14,64.043125,-55.780186111111114,1.5409e-13,2.238951262249335
1,0.68,20.5,1.486,0.1095,5.4152,7.61e-12,3.5499999999999995e-13,5.12e-12,2.9299999999999996e-13,1.239,0.0913,2.9435,7.97e-12,3.71E-13,6.43E-12,3.67E-13,79.95369000000001,-45.773501,21.46,2670,469.7,577.0,1773.8,1771.4,0.84,4.12,2RXS,J051949.5-454644,79.95629,-45.7789,2.98,-34.63472,-68.54214,862.15,337.0,19.243181,0.6644,0.0379,507.22,0.747,0.031,0.1,0.044000000000000004,137,2.48, 2CXO J051949.7-454643, 05 19 49.75,-45 46 43.85,2.255e-13,2.204e-13,2.307e-13,2.350e-13,2.295e-13,2.405e-13,79.95729166666666,-45.77884722222222,4.605e-13,11.118349619978284
1,0.8,33.3,0.7797,0.2069,0.9561,5.9e-13,1.24e-13,7.559999999999999e-13,1.23e-13,0.904,0.2398,0.3846,5.290000000000001e-13,1.11E-13,5.85E-13,9.48E-14,80.19626600000001,-45.685479,4.76,2670,26.5,33.7,1278.2,1221.7,12.28,3.94,2RXS,J052048.9-454134,80.20392,-45.69304,6.78,-34.45508,-68.49014,78.02,48.8,7.907628999999999,0.1002,0.0162,487.13,0.11,0.139,0.20600000000000002,0.16899999999999998,138,6.42, 2CXO J052049.3-454130, 05 20 49.36,-45 41 30.24,2.159e-13,2.100e-13,2.219e-13,5.236e-13,5.127e-13,5.345e-13,80.20566666666666,-45.69173333333333,7.395e-13,1.022312373225152
