c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,14.88, 2CXO J111004.7-763545, 11 10 04.73,-76 35 45.22,6.402e-14,6.156e-14,6.649e-14,5.821e-14,5.571e-14,6.057e-14,167.5197083333333,-76.59589444444444,1.2223e-13
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,21.09, 2CXO J111011.4-763529, 11 10 11.45,-76 35 29.22,1.021e-14,9.203e-15,1.116e-14,7.082e-15,6.221e-15,7.892e-15,167.5477083333333,-76.59145,1.7292e-14
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,0.6,35.0,0.5099,0.2638,1.1143,1.9399999999999998e-13,6.14e-14,3.8e-13,1.56e-13,0.414,0.2141,1.3641,1.8600000000000002e-13,5.89E-14,4.50E-13,1.84E-13,313.015918,-57.060547,3.16,5254,14.8,15.8,2392.4,2355.6,0.38,6.61,2RXS,J205203.8-570412,313.01592999999997,-57.070280000000004,25.55,-38.73873,-37.73235,7.82,10.07,4.119942,0.0412,0.0168,244.59,0.9390000000000001,0.182,0.71,0.154,62,12.96, 2CXO J205202.3-570407, 20 52 02.38,-57 04 07.62,2.357e-14,2.158e-14,2.555e-14,1.650e-14,1.496e-14,1.804e-14,313.00991666666664,-57.068783333333336,4.007e-14
1,0.6,35.0,0.5099,0.2638,1.1143,1.9399999999999998e-13,6.14e-14,3.8e-13,1.56e-13,0.414,0.2141,1.3641,1.8600000000000002e-13,5.89E-14,4.50E-13,1.84E-13,313.015918,-57.060547,3.16,5254,14.8,15.8,2392.4,2355.6,0.38,6.61,2RXS,J205203.8-570412,313.01592999999997,-57.070280000000004,25.55,-38.73873,-37.73235,7.82,10.07,4.119942,0.0412,0.0168,244.59,0.9390000000000001,0.182,0.71,0.154,62,26.57, 2CXO J205200.6-570417, 20 52 00.61,-57 04 17.53,7.560e-16,3.872e-16,1.106e-15,9.382e-16,5.507e-16,1.305e-15,313.0025416666667,-57.071536111111115,1.6941999999999998e-15
1,0.6,35.0,0.5099,0.2638,1.1143,1.9399999999999998e-13,6.14e-14,3.8e-13,1.56e-13,0.414,0.2141,1.3641,1.8600000000000002e-13,5.89E-14,4.50E-13,1.84E-13,313.015918,-57.060547,3.16,5254,14.8,15.8,2392.4,2355.6,0.38,6.61,2RXS,J205203.8-570412,313.01592999999997,-57.070280000000004,25.55,-38.73873,-37.73235,7.82,10.07,4.119942,0.0412,0.0168,244.59,0.9390000000000001,0.182,0.71,0.154,62,49.27, 2CXO J205157.8-570406, 20 51 57.84,-57 04 06.43,5.824e-16,2.569e-16,8.907e-16,2.856e-16,5.950e-17,5.117e-16,312.991,-57.06845277777778,8.679999999999999e-16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,0.7,52.2,0.5972,0.2634,1.1948,2.4299999999999997e-13,8.6e-14,4.0600000000000004e-13,1.0699999999999999e-13,0.7149,0.3153,0.7815,2.11e-13,7.47E-14,2.94E-13,7.73E-14,104.639093,-56.126093000000004,2.82,9961,12.3,10.7,1581.4,1576.1,10.4,6.35,2RXS,J065837.7-560811,104.65744000000001,-56.136390000000006,14.49,-21.28892,-77.49615,21.5,21.48,5.635564,0.0445,0.0117,482.62,0.245,0.19899999999999998,-0.184,0.239,74,12.16, 2CXO J065839.1-560813, 06 58 39.20,-56 08 13.93,5.758e-14,5.511e-14,6.005e-14,1.551e-13,1.493e-13,1.610e-13,104.66333333333333,-56.13720277777778,2.1268e-13
1,0.7,52.2,0.5972,0.2634,1.1948,2.4299999999999997e-13,8.6e-14,4.0600000000000004e-13,1.0699999999999999e-13,0.7149,0.3153,0.7815,2.11e-13,7.47E-14,2.94E-13,7.73E-14,104.639093,-56.126093000000004,2.82,9961,12.3,10.7,1581.4,1576.1,10.4,6.35,2RXS,J065837.7-560811,104.65744000000001,-56.136390000000006,14.49,-21.28892,-77.49615,21.5,21.48,5.635564,0.0445,0.0117,482.62,0.245,0.19899999999999998,-0.184,0.239,74,22.35, 2CXO J065838.5-560749, 06 58 38.60,-56 07 49.70,3.559e-15,3.076e-15,4.041e-15,1.896e-15,1.275e-15,2.484e-15,104.66083333333333,-56.130472222222224,5.455e-15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,0.41,14.2,1.4724,0.7228,0.9295,3.18e-13,3.88e-14,2.1600000000000004e-13,1.0300000000000002e-13,0.0,0,0,0.0,0,0,0,349.606682,-42.374603,8.21,6385,86.5,106.7,6247.1,6236.8,25.31,1.93,2RXS,J231826.6-422236,349.61118,-42.37675,17.85,-65.70096,-34.4298,7.28,7.46,3.547668,0.043,0.0205,173.34,1.0,0.40399999999999997,-0.504,0.263,166,11.85, 2CXO J231827.2-422226, 23 18 27.30,-42 22 26.60,7.880e-16,2.702e-16,1.283e-15,8.156e-16,3.375e-16,1.294e-15,349.61375,-42.37405555555556,1.6035999999999999e-15
1,0.41,14.2,1.4724,0.7228,0.9295,3.18e-13,3.88e-14,2.1600000000000004e-13,1.0300000000000002e-13,0.0,0,0,0.0,0,0,0,349.606682,-42.374603,8.21,6385,86.5,106.7,6247.1,6236.8,25.31,1.93,2RXS,J231826.6-422236,349.61118,-42.37675,17.85,-65.70096,-34.4298,7.28,7.46,3.547668,0.043,0.0205,173.34,1.0,0.40399999999999997,-0.504,0.263,166,24.86, 2CXO J231824.6-422247, 23 18 24.67,-42 22 47.32,2.917e-15,1.419e-15,4.337e-15,1.067e-15,4.001e-16,1.734e-15,349.60279166666663,-42.37981111111111,3.984e-15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
