c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc,rass_csc_flux_ratio
1,0.68,20.5,1.486,0.1095,5.4152,7.61e-12,3.5499999999999995e-13,5.12e-12,2.9299999999999996e-13,1.239,0.0913,2.9435,7.97e-12,3.71E-13,6.43E-12,3.67E-13,79.95369000000001,-45.773501,21.46,2670,469.7,577.0,1773.8,1771.4,0.84,4.12,2RXS,J051949.5-454644,79.95629,-45.7789,2.98,-34.63472,-68.54214,862.15,337.0,19.243181,0.6644,0.0379,507.22,0.747,0.031,0.1,0.044000000000000004,137,2.48, 2CXO J051949.7-454643, 05 19 49.75,-45 46 43.85,2.255e-13,2.204e-13,2.307e-13,2.350e-13,2.295e-13,2.405e-13,79.95729166666666,-45.77884722222222,4.605e-13,11.118349619978284
1,0.82,25.7,0.6618,0.1199,2.2129,1.07e-12,1.3900000000000001e-13,1.6200000000000002e-12,2.05e-13,0.7256,0.1314,1.7407,8.97e-13,1.16E-13,1.24E-12,1.56E-13,347.672568,-43.788034,7.71,435,66.3,85.4,1322.9,1231.7,23.75,1.57,2RXS,J231042.4-434740,347.67679,-43.79448,9.56,-63.757830000000006,-35.00757,133.3,71.1,8.989635,0.368,0.0465,193.22,-0.348,0.09699999999999999,-0.20600000000000002,0.177,157,12.94, 2CXO J231043.6-434741, 23 10 43.61,-43 47 41.99,5.498e-16,0.000e+00,1.067e-15,2.048e-15,9.699e-16,3.071e-15,347.6817083333333,-43.79499722222222,2.5978e-15,623.6045884979599
1,1.16,65.5,0.3399,0.1679,1.6113,3.72e-14,1.09e-14,1.09e-13,4.35e-14,0.0,0,0,0.0,0,0,0,84.70359300000001,-28.648591999999997,3.41,3720,35.5,54.2,22372.0,22854.6,4.9,2.05,2RXS,J053844.0-283909,84.68337,-28.65261,19.46,-27.53342,-51.95208,7.24,10.93,4.342893,0.021,0.0083,520.75,0.6890000000000001,2.219,1.0,1.117,284,30.12, 2CXO J053845.2-283934, 05 38 45.23,-28 39 34.91,2.399e-15,1.287e-15,3.510e-15,5.548e-15,3.531e-15,7.440e-15,84.68845833333332,-28.65969722222222,7.947e-15,13.71586762300239
1,1.24,39.1,2.7230000000000003,0.6874,5.1039,1.95e-12,1.7199999999999997e-13,7.15e-13,1.6899999999999999e-13,2.2523,0.5686,4.0497,1.8100000000000002e-12,1.60E-13,8.05E-13,1.90E-13,229.43060099999997,-24.370146,11.3,1998,137.1,188.1,2270.2,2223.6,0.38,8.73,2RXS,J151741.1-242237,229.42132999999998,-24.37697,9.95,27.57575,-5.94057,30.39,26.27,6.210819,0.0721,0.0171,364.19,0.975,0.121,0.18600000000000003,0.154,329,17.55, 2CXO J151740.8-242254, 15 17 40.88,-24 22 54.34,1.542e-15,7.708e-16,2.312e-15,3.655e-15,2.587e-15,4.724e-15,229.4203333333333,-24.38176111111111,5.197e-15,137.57937271502792
1,1.36,100.0,0.1417,0.0665,4.8035,9.97e-14,4.37e-14,7.03e-13,1.18e-13,0.1636,0.0768,4.5896,1.01e-14,4.45E-15,6.20E-14,1.04E-14,355.98571699999997,-15.294534,2.28,2294,8.8,6.6,2035.9,2059.9,3.71,1.95,2RXS,J234350.0-151707,355.95847000000003,-15.28554,10.24,-70.32807,-12.405669999999999,69.15,43.98,7.367307,0.1392,0.0233,316.06,-0.9520000000000001,0.09699999999999999,-1.0,1.6380000000000001,460,8.95, 2CXO J234349.4-151704, 23 43 49.46,-15 17 04.44,1.622e-15,1.235e-15,1.985e-15,6.924e-15,6.210e-15,7.639e-15,355.95608333333325,-15.284566666666667,8.546e-15,82.26070676339809
1,0.48,14.7,0.9551,0.0859,0.5,3.740000000000001e-12,8.78e-14,3.92e-12,3.4e-13,0.9651,0.0868,0.3883,3.66e-12,8.58E-14,3.79E-12,3.29E-13,324.441729,-14.544141,42.61,5426,1866.6,2260.2,14735.8,14525.2,0.38,4.66,2RXS,J213745.2-143248,324.43863,-14.5469,4.94,-43.33331,-0.37385999999999997,380.29,141.82,12.318122,0.4812,0.0418,294.74,0.457,0.068,0.312,0.084,476,7.04, 2CXO J213745.1-143255, 21 37 45.19,-14 32 55.77,5.122e-14,4.681e-14,5.564e-14,4.189e-14,3.836e-14,4.543e-14,324.43829166666666,-14.548824999999999,9.311e-14,42.10074105896252
1,1.33,41.0,0.8706,0.0628,1.9142,6.42e-12,3.289999999999999e-13,7.37e-12,3.7499999999999997e-13,0.7418,0.0535,4.068,7.460000000000001e-12,3.82E-13,1.01E-11,5.11E-13,351.34006600000004,-12.120495,19.52,3477,397.7,574.3,1547.1,1611.8,3.48,2.49,2RXS,J232519.5-120742,351.33167000000003,-12.12838,6.48,-64.85392,-7.70962,904.23,409.25,20.797983,1.2547,0.0638,326.17,0.48,0.036000000000000004,0.326,0.045,526,7.29, 2CXO J232519.8-120735, 23 25 19.84,-12 07 35.79,3.880e-16,0.000e+00,7.759e-16,1.170e-15,5.851e-16,1.755e-15,351.3326666666666,-12.126608333333333,1.558e-15,4730.423620025674
1,0.92,28.0,0.1947,0.0296,11.0092,7.240000000000001e-13,9.85e-14,3.72e-12,2.5400000000000003e-13,0.2441,0.0372,9.965,8.06e-14,1.10E-14,3.30E-13,2.25E-14,11.760743,-11.878729,7.35,3023,59.3,83.9,2000.0,1982.7,1.89,2.32,2RXS,J004703.1-115216,11.76303,-11.871269999999999,5.88,-74.7085,-15.551029999999999,583.27,231.07,15.756706,0.6606,0.045,349.82,-0.94,0.02,-0.049,0.33299999999999996,530,4.13, 2CXO J004703.3-115219, 00 47 03.35,-11 52 19.08,4.934e-16,1.234e-16,8.635e-16,8.313e-15,6.986e-15,9.641e-15,11.763958333333331,-11.871966666666667,8.8064e-15,422.4200581395349
1,1.28,98.3,0.8645,0.5236,0.2434,2.5e-13,1.18e-13,2.89e-13,1.09e-13,0.0,0,0,0.0,0,0,0,210.45077,-11.64635,2.11,6253,6.3,4.2,754.8,762.5,2.29,4.98,2RXS,J140154.4-113811,210.47683999999998,-11.636660000000001,23.91,47.63264,0.7186,9.26,11.76,4.4345870000000005,0.0345,0.013000000000000001,340.41,1.0,0.268,0.373,0.222,534,19.57, 2CXO J140155.7-113809, 14 01 55.76,-11 38 09.60,6.427e-15,5.518e-15,7.336e-15,5.745e-15,4.755e-15,6.736e-15,210.48233333333332,-11.636,1.2172e-14,23.743016759776534
1,0.84,25.9,7.2066,1.3069,23.6785,5.5499999999999996e-12,1.47e-13,7.700000000000001e-13,1.3800000000000002e-13,6.2223,1.1284,21.4251,5.87e-12,1.56E-13,9.43E-13,1.69E-13,213.30679500000002,-3.204059,37.71,7204,1457.7,1648.6,7421.0,7293.6,0.38,3.82,2RXS,J141315.2-031223,213.31357999999997,-3.20643,6.79,53.810340000000004,9.60224,69.48,38.34,6.878299,0.1035,0.0186,370.62,0.6579999999999999,0.12,0.674,0.11,724,7.21, 2CXO J141314.8-031227, 14 13 14.87,-03 12 27.49,2.397e-14,1.975e-14,2.820e-14,1.095e-14,8.629e-15,1.327e-14,213.3119583333333,-3.2076361111111114,3.4920000000000004e-14,22.050400916380298
