c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	rass_name1	rass_name2	rass_ra	rass_dec	rass_pos_err	rass_l	rass_b	rass_ML	rass_counts	rass_counts_err	rass_count_rate	rass_count_rate_err	rass_exp_time	rass_hardness_ratio	rass_HR2	rass_HR3	rass_HR4
1	0.83	62.2	0.3121	0.1403	2.2716	2.36E-13	8.27E-14	7.58E-13	2.14E-13	0	0.0000.1	0.0000.2	0.00E+00	0.00E+00.1	0.00E+00.2	0.00E+00.3	303.454528	-82.019084	2.86	5734	12.1	10.1	1656.2	1690.5	7.44	9.36	2RXS	J201321.1-820130	303.33792	-82.02517	18.38	-29.65462	-59.59887	18.93	17.94	5.067939	0.0754	0.0213	237.82	-0.276	0.202	-0.49	0.331
1	0.54	22.7	0.851	0.2697	0.4991	8.69E-13	1.76E-13	1.02E-12	2.48E-13	0.7006	0.222	1.0623	8.03E-13	1.63E-13	1.15E-12	2.79E-13	283.65091	-78.892264	4.93	7152	27.5	26.3	1025.9	1039.6	15.2	9.56	2RXS	J185440.4-785351	283.66849	-78.8976	9.14	-26.73519	-55.67812	34.28	21.21	5.163083	0.1012	0.0246	209.55	1	0.115	0.327	0.164
1	1.27	53.5	1.0644	0.4391	0.1524	6.61E-13	1.63E-13	6.21E-13	2.05E-13	0	0	0	0	0	0	0	284.709701	-78.46714	4.05	7152	19	19.7	930.5	921.6	16.8	9.31	2RXS	J185906.6-782823	284.77756	-78.4732	9.98	-26.91948	-55.29763	19.7	12.39	4.094877	0.0619	0.0204	200.29	0.676	0.306	0.15	0.311
1	1.06	78.2	2.0489	1.1129	1.2191	3.51E-13	1.31E-13	1.71E-13	6.77E-14	0	0	0	0	0	0	0	170.680257	-77.891993	2.68	1122	9.3	8.2	851.5	845.9	11.84	8.44	2RXS	J112250.3-775216	170.70961	-77.87115	11.54	-15.81942	-65.57375	10.52	10.83	4.275081	0.0174	0.0069	621.73	1	1.736	-1	0.754
1	0.68	28.7	0.9697	0.3053	0.0974	4.11E-13	7.78E-14	4.23E-13	1.06E-13	0.7939	0.25	0.7033	3.80E-13	7.20E-14	4.79E-13	1.21E-13	167.000095	-77.71316	5.28	10350	37.7	46.7	2969.1	3053	3.71	9.17	2RXS	J110801.1-774218	167.00491	-77.70525	8.77	-15.9607	-66.27494	31.23	21.46	5.397809	0.0423	0.0106	507.23	1	0.127	0.048	0.153
1	1.63	87.5	0.6165	0.2197	1.2939	2.73E-13	6.87E-14	4.43E-13	1.12E-13	0.5045	0.1798	1.7529	2.53E-13	6.36E-14	5.02E-13	1.27E-13	166.918931	-77.650814	3.98	10350	23.6	30.1	2791.6	2835.7	7.59	9.13	2RXS	J110717.3-773817	166.82216	-77.63808	8.98	-15.91509	-66.29451	29.28	21.45	5.420013	0.0443	0.0112	483.86	1	0.115	0.482	0.124
1	1.52	111.7	0.3026	0.147	2.4715	1.34E-13	5.56E-14	4.43E-13	1.12E-13	0.2476	0.1203	2.7586	1.24E-13	5.16E-14	5.02E-13	1.27E-13	166.920297	-77.615263	2.41	10350	11.3	6.5	2723.7	2669	9.64	9.11	2RXS	J110717.3-773817	166.82216	-77.63808	8.98	-15.91509	-66.29451	29.28	21.45	5.420013	0.0443	0.0112	483.86	1	0.115	0.482	0.124
1	0.8	33.6	1.1215	0.32	0.4052	6.64E-13	1.21E-13	5.92E-13	1.30E-13	0.9951	0.284	0.0171	6.20E-13	1.13E-13	6.23E-13	1.37E-13	165.561014	-77.556118	5.5	10350	35.7	38.7	1737.3	1718	23.6	9.01	2RXS	J110224.5-773331	165.60236	-77.55886	9.91	-15.95176	-66.52672	40.22	26.64	5.859008	0.0593	0.0131	448.96	0.874	0.113	0.08	0.154
1	0.28	8.7	1.6821	0.3954	2.4054	1.14E-12	1.33E-13	6.75E-13	1.38E-13	1.375	0.3232	1.4432	1.05E-12	1.23E-13	7.65E-13	1.56E-13	167.294415	-77.491235	8.53	10350	81.8	85.2	2328.4	2331.6	16.97	9.06	2RXS	J110908.0-772927	167.28337	-77.49083	6.89	-15.74031	-66.15862	54.98	30.54	6.223191	0.0676	0.0138	451.85	1	0.11	0.677	0.097
1	0.71	29.9	0.8325	0.2481	0.6041	5.10E-13	1.00E-13	6.13E-13	1.37E-13	0.7889	0.2351	0.7751	4.76E-13	9.36E-14	6.03E-13	1.35E-13	168.189554	-77.365642	5.08	10350	30.9	33	1957	1953.3	28.08	9.04	2RXS	J111240.8-772222	168.17038	-77.37282	10.18	-15.55601	-65.93977	37.96	26.35	5.893971	0.0614	0.0137	429.18	0.769	0.142	-0.152	0.161
1	0.19	5.9	1.9861	0.5049	3.0023	1.29E-12	1.56E-13	6.50E-13	1.45E-13	1.6211	0.4121	2.0874	1.20E-12	1.45E-13	7.39E-13	1.65E-13	166.56398	-77.36548	8.25	10350	74.7	97.3	1869	1875.5	25.31	8.96	2RXS	J110616.2-772200	166.5676	-77.36692	8.15	-15.68997	-66.27393	41.64	26.17	5.847517	0.0652	0.0146	401.26	1	0.119	0.687	0.108
1	1.68	92.2	1.5206	0.699	0.9345	3.15E-13	8.64E-14	2.07E-13	7.62E-14	0	0	0	0	0	0	0	124.702593	-77.21021	3.64	10100	19.9	20.6	2050.4	2136	17.38	9.61	2RXS	J081822.8-771311	124.59517	-77.21976	14.84	-21.82519	-75.28172	10.52	13.24	4.88015	0.0205	0.0076	645.96	1	0.322	0.502	0.223
1	0.25	13.4	1.507	0.7719	0.8018	3.69E-13	1.21E-13	2.45E-13	9.61E-14	0	0	0	0	0	0	0	166.475949	-77.12006	3.04	10351	11.4	9.6	997	1062.8	24.24	8.84	2RXS	J110550.8-770719	166.46184	-77.12203	9.56	-15.47619	-66.22819	15.82	8.7	3.415703	0.0246	0.0097	353.16	1	0.45	-1	0.367
1	0.8	24.6	0.3972	0.0525	6.1175	9.81E-13	9.41E-14	2.47E-12	2.24E-13	0.6082	0.0804	3.6271	6.58E-13	6.31E-14	1.08E-12	9.83E-14	124.60512	-76.925362	10.42	10100	126.7	173.2	4191.7	4122.6	0.38	9.93	2RXS	J081830.4-765514	124.62681	-76.9206	5.95	-21.68249	-75.40995	276.67	137.62	12.506222	0.2434	0.0221	565.4	-0.143	0.072	-0.348	0.107
1	1.53	47.3	1.4336	0.2157	2.576	2.67E-12	1.96E-13	1.86E-12	2.45E-13	1.3236	0.1992	1.9807	2.51E-12	1.84E-13	1.90E-12	2.49E-13	47.957993	-76.868486	13.63	5401	203.9	231.7	2445.4	2406.4	0.38	7.98	2RXS	J031159.6-765132	47.99853	-76.85912	7.06	-37.55354	-73.87546	118.46	70.91	9.317817	0.1916	0.0252	370.09	0.783	0.073	-0.066	0.097
1	0.99	43	0.6023	0.1891	1.5243	4.83E-13	1.06E-13	8.02E-13	1.81E-13	0.5715	0.1794	1.6636	4.51E-13	9.88E-14	7.90E-13	1.78E-13	168.132209	-76.606674	4.57	10351	28.2	37.5	1880.3	1825.4	14.34	8.61	2RXS	J111233.9-763706	168.14128	-76.61843	14.72	-14.86243	-65.71221	34.28	24.14	5.435831	0.0811	0.0183	297.5	0.756	0.138	0.158	0.172
1	0.54	23.2	1.0292	0.3723	0.08	5.34E-13	1.05E-13	5.19E-13	1.58E-13	0.9454	0.342	0.1534	5.00E-13	9.83E-14	5.29E-13	1.61E-13	167.518246	-76.598196	5.09	10351	34.1	37.8	2056.2	2046.2	10.57	8.61	2RXS	J111005.3-763530	167.52248	-76.59181	12.4	-14.89376	-65.83957	18.81	15.27	4.637937	0.0525	0.0159	290.81	0.809	0.148	0.065	0.157
1	0.16	6.9	1.1543	0.3213	0.509	8.09E-13	1.68E-13	7.01E-13	1.30E-13	0.9649	0.2686	0.1287	7.45E-13	1.55E-13	7.72E-13	1.43E-13	121.862302	-76.533644	4.81	2260	25.9	25.4	1041.8	1043.6	0.84	10.84	2RXS	J080728.6-763157	121.86932	-76.53266	9.07	-22.08171	-76.1505	52.09	38.66	7.155755	0.0682	0.0126	567.21	1	0.134	0.508	0.125
2	2.35	115.1	0.8198	0.3238	0.4887	4.28E-13	1.06E-13	5.22E-13	1.61E-13	0.6641	0.2623	0.9621	3.98E-13	9.83E-14	6.00E-13	1.85E-13	167.481497	-76.473736	4.05	10351	21.8	35.6	1639.9	1640.5	17.92	8.48	2RXS	J111010.6-763007	167.54445	-76.50214	26.66	-14.80933	-65.80627	15.63	15.39	4.743898	0.053	0.0163	290.63	1	0.118	0.168	0.134
1	0.45	36	0.8138	0.4393	0.3786	2.68E-13	1.03E-13	3.29E-13	1.25E-13	0.6593	0.356	0.7461	2.50E-13	9.56E-14	3.79E-13	1.44E-13	166.270093	-76.425526	2.61	10351	10.8	8.6	1296.4	1302.7	25.87	8.49	2RXS	J110454.6-762533	166.22755	-76.42598	33.28	-14.86392	-66.07544	9.1	9.71	3.693252	0.0334	0.0127	290.51	1	0.196	-0.187	0.254
1	1.71	73.1	0.7092	0.1887	1.2798	8.85E-13	1.74E-13	1.25E-12	2.24E-13	0.5732	0.1525	2.0147	8.26E-13	1.62E-13	1.44E-12	2.59E-13	167.972673	-76.349146	5.09	10351	30.6	38.3	1110.2	1065.1	26.65	8.34	2RXS	J111138.7-762005	167.91147	-76.33486	11.8	-14.62167	-65.67049	62.69	36.77	6.59809	0.1272	0.0228	289.06	1	0.072	0.182	0.128
1	0.14	5.2	6.2439	2.3722	8.7901	1.62E-12	1.21E-13	2.59E-13	9.66E-14	6.5695	2.4959	9.0453	1.48E-12	1.11E-13	2.26E-13	8.41E-14	99.470035	-75.650747	13.4	8494	197.4	227.9	3942.1	4056.8	24.13	9.21	2RXS	J063752.0-753858	99.46675	-75.64956	23.25	-27.05256	-80.43645	9.49	16.08	5.990226	0.0259	0.0096	620.93	0.595	0.131	0.338	0.135
1	0.67	27.9	0.3662	0.1042	3.2518	2.51E-13	5.59E-14	6.86E-13	1.21E-13	0.6323	0.1799	1.6255	1.17E-13	2.60E-14	1.85E-13	3.27E-14	98.468017	-75.62839	4.49	8494	36.5	43.8	4695	4695.7	22.61	8.99	2RXS	J063344.8-753741	98.43685	-75.62817	7.34	-27.30622	-80.55202	61.42	43.17	7.642535	0.0688	0.0122	627.69	-0.48	0.124	0.968	0.24
1	0.66	19.8	1.3229	0.1244	3.2616	3.16E-12	1.13E-13	2.39E-12	2.08E-13	1.3387	0.1259	3.4127	2.92E-12	1.05E-13	2.18E-12	1.90E-13	98.960061	-75.275552	27.96	8494	833.3	1024.4	8517.4	8403.3	0.38	9.22	2RXS	J063547.0-751616	98.94613	-75.27134	3.51	-27.15765	-80.83566	306.63	154.75	13.454719	0.2388	0.0208	648.08	0.663	0.052	0.357	0.063
1	2.52	184.9	0.2488	0.0982	3.5452	1.46E-13	5.00E-14	5.85E-13	1.13E-13	0.2492	0.0983	3.5421	1.35E-13	4.63E-14	5.41E-13	1.05E-13	98.030488	-74.904641	2.91	8494	19.5	20.9	4328.8	4304.5	26.11	9.08	2RXS	J063229.5-745133	98.1233	-74.85934	6.76	-27.34492	-81.29733	47.24	39.94	7.743816	0.0586	0.0114	681.81	0.677	0.135	0.039	0.151
1	0.37	15.5	0.5137	0.1428	2.2179	3.01E-13	5.99E-14	5.86E-13	1.14E-13	0.515	0.1432	2.2109	2.79E-13	5.55E-14	5.41E-13	1.05E-13	98.13835	-74.861121	5.02	8494	42.3	47.4	4543.9	4546	27.56	9.13	2RXS	J063229.5-745133	98.1233	-74.85934	6.76	-27.34492	-81.29733	47.24	39.94	7.743816	0.0586	0.0114	681.81	0.677	0.135	0.039	0.151
