c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg
1,1.27,53.5,1.0644,0.4391,0.1524,6.609999999999999e-13,1.6299999999999999e-13,6.210000000000001e-13,2.05e-13,0.0,0,0,0.0,0,0,0,284.709701,-78.46714,4.05,7152,19.0,19.7,930.5,921.6,16.8,9.31,2RXS,J185906.6-782823,284.77756,-78.4732,9.98,-26.91948,-55.297630000000005,19.7,12.39,4.094876999999999,0.0619,0.0204,200.29,0.6759999999999999,0.306,0.15,0.311,3,15.72, 2CXO J185901.4-782826, 18 59 01.44,-78 28 26.03,6.285e-14,5.296e-14,7.274e-14,1.513e-13,1.178e-13,1.829e-13,284.756,-78.47389722222222
1,1.27,53.5,1.0644,0.4391,0.1524,6.609999999999999e-13,1.6299999999999999e-13,6.210000000000001e-13,2.05e-13,0.0,0,0,0.0,0,0,0,284.709701,-78.46714,4.05,7152,19.0,19.7,930.5,921.6,16.8,9.31,2RXS,J185906.6-782823,284.77756,-78.4732,9.98,-26.91948,-55.297630000000005,19.7,12.39,4.094876999999999,0.0619,0.0204,200.29,0.6759999999999999,0.306,0.15,0.311,3,87.45, 2CXO J185850.0-782935, 18 58 50.08,-78 29 35.60,1.651e-15,0.000e+00,3.301e-15,         ,         ,         ,284.7086666666666,-78.49322222222223
1,0.8,33.6,1.1215,0.32,0.4052,6.64e-13,1.21e-13,5.920000000000001e-13,1.3e-13,0.9951,0.284,0.0171,6.2e-13,1.13E-13,6.23E-13,1.37E-13,165.561014,-77.55611800000001,5.5,10350,35.7,38.7,1737.3,1718.0,23.6,9.01,2RXS,J110224.5-773331,165.60236,-77.55886,9.91,-15.95176,-66.52672,40.22,26.64,5.859008,0.0593,0.0131,448.96,0.8740000000000001,0.113,0.08,0.154,6,3.7, 2CXO J110224.8-773335, 11 02 24.82,-77 33 35.50,1.352e-13,1.302e-13,1.399e-13,5.008e-13,4.896e-13,5.121e-13,165.60341666666665,-77.5598611111111
1,0.8,33.6,1.1215,0.32,0.4052,6.64e-13,1.21e-13,5.920000000000001e-13,1.3e-13,0.9951,0.284,0.0171,6.2e-13,1.13E-13,6.23E-13,1.37E-13,165.561014,-77.55611800000001,5.5,10350,35.7,38.7,1737.3,1718.0,23.6,9.01,2RXS,J110224.5-773331,165.60236,-77.55886,9.91,-15.95176,-66.52672,40.22,26.64,5.859008,0.0593,0.0131,448.96,0.8740000000000001,0.113,0.08,0.154,6,61.18, 2CXO J110213.0-773243, 11 02 13.01,-77 32 43.44,4.385e-16,1.754e-16,6.890e-16,         ,         ,         ,165.55420833333332,-77.5454
1,0.19,5.9,1.9861,0.5049,3.0023,1.29e-12,1.56e-13,6.500000000000001e-13,1.45e-13,1.6211,0.4121,2.0874,1.2e-12,1.45E-13,7.39E-13,1.65E-13,166.56398000000002,-77.36548,8.25,10350,74.7,97.3,1869.0,1875.5,25.31,8.96,2RXS,J110616.2-772200,166.5676,-77.36692,8.15,-15.68997,-66.27393000000001,41.64,26.17,5.847517,0.0652,0.0146,401.26,1.0,0.11900000000000001,0.687,0.10800000000000001,9,98.89, 2CXO J110645.7-772221, 11 06 45.72,-77 22 21.41,6.523e-16,3.106e-17,1.243e-15,0.000e+00,0.000e+00,1.563e-15,166.6905,-77.37261388888888
1,0.99,43.0,0.6023,0.1891,1.5243,4.830000000000001e-13,1.06e-13,8.02e-13,1.8100000000000004e-13,0.5715,0.1794,1.6636,4.51e-13,9.88E-14,7.90E-13,1.78E-13,168.13220900000002,-76.606674,4.57,10351,28.2,37.5,1880.3,1825.4,14.34,8.61,2RXS,J111233.9-763706,168.14128,-76.61843,14.72,-14.862429999999998,-65.71221,34.28,24.14,5.435830999999999,0.0811,0.0183,297.5,0.7559999999999999,0.138,0.158,0.172,12,98.94, 2CXO J111226.3-763530, 11 12 26.35,-76 35 30.96,6.482e-16,2.992e-16,9.807e-16,8.827e-16,1.697e-16,1.596e-15,168.10979166666664,-76.59193333333333
1,0.99,43.0,0.6023,0.1891,1.5243,4.830000000000001e-13,1.06e-13,8.02e-13,1.8100000000000004e-13,0.5715,0.1794,1.6636,4.51e-13,9.88E-14,7.90E-13,1.78E-13,168.13220900000002,-76.606674,4.57,10351,28.2,37.5,1880.3,1825.4,14.34,8.61,2RXS,J111233.9-763706,168.14128,-76.61843,14.72,-14.862429999999998,-65.71221,34.28,24.14,5.435830999999999,0.0811,0.0183,297.5,0.7559999999999999,0.138,0.158,0.172,12,105.92, 2CXO J111203.4-763703, 11 12 03.41,-76 37 03.09,3.572e-15,2.928e-15,4.216e-15,6.661e-15,5.715e-15,7.607e-15,168.0142083333333,-76.61752499999999
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,14.88, 2CXO J111004.7-763545, 11 10 04.73,-76 35 45.22,6.402e-14,6.156e-14,6.649e-14,5.821e-14,5.571e-14,6.057e-14,167.5197083333333,-76.59589444444444
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,21.09, 2CXO J111011.4-763529, 11 10 11.45,-76 35 29.22,1.021e-14,9.203e-15,1.116e-14,7.082e-15,6.221e-15,7.892e-15,167.5477083333333,-76.59145
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,37.38, 2CXO J111000.1-763457, 11 10 00.12,-76 34 57.96,8.582e-14,8.281e-14,8.883e-14,4.719e-14,4.493e-14,4.931e-14,167.50049999999996,-76.58276666666666
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,67.7, 2CXO J111007.9-763423, 11 10 07.92,-76 34 23.39,1.516e-15,1.137e-15,1.895e-15,2.214e-16,7.856e-17,3.571e-16,167.533,-76.57316388888889
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,77.11, 2CXO J110953.4-763425, 11 09 53.44,-76 34 25.60,2.057e-14,1.901e-14,2.205e-14,1.477e-14,1.353e-14,1.601e-14,167.47266666666664,-76.57377777777778
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,79.99, 2CXO J110946.2-763446, 11 09 46.20,-76 34 46.50,2.189e-15,1.735e-15,2.643e-15,2.087e-15,1.620e-15,2.528e-15,167.44249999999997,-76.57958333333333
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,87.58, 2CXO J110941.9-763458, 11 09 41.97,-76 34 58.51,4.665e-14,4.435e-14,4.895e-14,3.183e-15,2.589e-15,3.778e-15,167.424875,-76.58291944444444
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,93.74, 2CXO J110950.0-763647, 11 09 50.10,-76 36 47.72,3.325e-14,3.139e-14,3.500e-14,3.259e-14,3.064e-14,3.443e-14,167.45874999999998,-76.61325555555555
1,0.54,23.2,1.0292,0.3723,0.08,5.34e-13,1.05e-13,5.19e-13,1.58e-13,0.9454,0.342,0.1534,5e-13,9.83E-14,5.29E-13,1.61E-13,167.518246,-76.598196,5.09,10351,34.1,37.8,2056.2,2046.2,10.57,8.61,2RXS,J111005.3-763530,167.52248,-76.59181,12.4,-14.89376,-65.83957,18.81,15.27,4.637937,0.0525,0.0159,290.81,0.809,0.14800000000000002,0.065,0.157,13,118.55, 2CXO J111012.1-763726, 11 10 12.11,-76 37 26.75,4.655e-16,2.148e-16,7.042e-16,         ,         ,         ,167.5504583333333,-76.62409722222222
1,0.9,27.1,0.0028,0.0004,117.5684,6.159999999999999e-13,8.95e-14,2.23e-10,1.89e-12,0.0024,0.0004,117.6358,5.7e-13,8.27E-14,2.34E-10,1.98E-12,117.15786299999999,-67.74748100000001,6.89,7708,57.7,69.9,3048.7,3051.1,21.64,11.36,2RXS,J074833.9-674506,117.14161999999999,-67.75183,0.84,-19.8102,-79.48258,23694.53,14000.88,118.62561000000001,21.5717,0.1828,649.04,0.927,0.003,0.355,0.006,24,1.81, 2CXO J074833.7-674507, 07 48 33.71,-67 45 07.47,         ,         ,         ,2.832e-13,2.761e-13,2.902e-13,117.14045833333333,-67.752075
1,0.9,27.1,0.0028,0.0004,117.5684,6.159999999999999e-13,8.95e-14,2.23e-10,1.89e-12,0.0024,0.0004,117.6358,5.7e-13,8.27E-14,2.34E-10,1.98E-12,117.15786299999999,-67.74748100000001,6.89,7708,57.7,69.9,3048.7,3051.1,21.64,11.36,2RXS,J074833.9-674506,117.14161999999999,-67.75183,0.84,-19.8102,-79.48258,23694.53,14000.88,118.62561000000001,21.5717,0.1828,649.04,0.927,0.003,0.355,0.006,24,14.18, 2CXO J074836.1-674459, 07 48 36.19,-67 44 59.89,3.446e-16,2.162e-16,4.730e-16,5.347e-16,3.694e-16,6.902e-16,117.15079166666665,-67.74996944444445
1,0.9,27.1,0.0028,0.0004,117.5684,6.159999999999999e-13,8.95e-14,2.23e-10,1.89e-12,0.0024,0.0004,117.6358,5.7e-13,8.27E-14,2.34E-10,1.98E-12,117.15786299999999,-67.74748100000001,6.89,7708,57.7,69.9,3048.7,3051.1,21.64,11.36,2RXS,J074833.9-674506,117.14161999999999,-67.75183,0.84,-19.8102,-79.48258,23694.53,14000.88,118.62561000000001,21.5717,0.1828,649.04,0.927,0.003,0.355,0.006,24,69.07, 2CXO J074845.6-674447, 07 48 45.68,-67 44 47.68,1.042e-15,7.577e-16,1.310e-15,9.671e-16,6.617e-16,1.256e-15,117.19033333333331,-67.74657777777777
